iter	Passed	Remaining
0	1	158
1	1	125
2	2	109
3	2	98
4	3	90
5	3	87
6	4	85
7	4	81
8	5	79
9	5	77
10	6	75
11	6	74
12	6	73
13	7	72
14	7	71
15	8	71
16	9	70
17	9	69
18	9	68
19	10	67
20	10	67
21	11	66
22	12	69
23	13	70
24	14	74
25	15	74
26	16	73
27	16	72
28	17	73
29	18	72
30	18	71
31	19	70
32	19	69
33	20	68
34	21	69
35	21	68
36	22	67
37	22	66
38	23	65
39	23	64
40	24	64
41	24	63
42	25	62
43	25	61
44	26	60
45	26	60
46	27	59
47	27	59
48	28	59
49	29	59
50	30	58
51	30	57
52	31	57
53	31	56
54	32	55
55	32	54
56	33	53
57	33	53
58	33	52
59	34	51
60	34	50
61	35	50
62	35	49
63	36	48
64	36	48
65	37	47
66	37	46
67	38	46
68	38	45
69	39	44
70	39	44
71	40	43
72	40	43
73	41	42
74	41	41
75	42	41
76	42	40
77	43	39
78	43	39
79	44	39
80	45	38
81	46	38
82	46	37
83	47	37
84	48	36
85	48	36
86	49	35
87	49	35
88	50	34
89	50	33
90	51	33
91	51	32
92	52	32
93	52	31
94	53	30
95	53	30
96	54	29
97	54	29
98	55	28
99	55	27
100	56	27
101	56	26
102	57	26
103	58	25
104	58	25
105	58	24
106	59	23
107	59	23
108	60	22
109	61	22
110	61	21
111	62	21
112	62	20
113	63	20
114	63	19
115	64	18
116	64	18
117	65	17
118	65	17
119	66	16
120	66	16
121	67	15
122	67	14
123	68	14
124	68	13
125	69	13
126	69	12
127	70	12
128	70	11
129	71	10
130	71	10
131	72	9
132	72	9
133	73	8
134	73	8
135	74	7
136	74	7
137	75	6
138	75	5
139	76	5
140	76	4
141	77	4
142	78	3
143	78	3
144	79	2
145	79	2
146	80	1
147	80	1
148	81	0
149	81	0
